"Baldwin, Tammy",@SenatorBaldwin,WI,D
"Barrasso, John",@SenJohnBarrasso,WY,R
"Bennet, Michael",@SenatorBennet,CO,D
"Blackburn, Marsha",@MarshaBlackburn,TN,R
"Blumenthal, Richard",@SenBlumenthal,CT,D
"Blunt, Roy",@RoyBlunt,MO,R
"Booker, Cory  ",@CoryBooker,NJ,D
"Boozman, John",@JohnBoozman,AR,R
"Braun, Mike",@SenatorBraun,IN,R
"Brown, Sherrod",@SenSherrodBrown,OH,D
"Burr, Richard",@SenatorBurr,NC,R
"Cantwell, Maria",@SenatorCantwell,WA,D
"Capito, Shelley Moore",@SenCapito,WV,R
"Cardin, Ben",@SenatorCardin,MD,D
"Carper, Tom",@SenatorCarper,DE,D
"Casey, Bob",@SenBobCasey,PA,D
"Cassidy, Bill",@SenBillCassidy,LA,R
"Collins, Susan",@SenatorCollins,ME,R
"Coons, Chris",@ChrisCoons,DE,D
"Cornyn, John",@JohnCornyn,TX,R
"Cortez Masto, Catherine",@SenCortezMasto,NV,D
"Cotton, Tom",@SenTomCotton,AK,R
"Cramer, Kevin",@SenKevinCramer,ND,R
"Crapo, Mike",@MikeCrapo,ID,R
"Cruz, Ted",@SenTedCruz,TX,R
"Daines, Steve",@SteveDaines,MT,R
"Duckworth, Tammy",@SenDuckworth,IL,D
"Durbin, Richard",@SenatorDurbin,IL,D
"Ernst, Joni",@SenJoniErnst,IA,R
"Feinstein, Dianne",@SenFeinstein,CA,D
"Fischer, Deb",@SenatorFischer,NE,R
"Gillibrand, Kirsten",@SenGillibrand,NY,D
"Graham, Lindsey",@LindseyGrahamSC,SC,R
"Grassley, Chuck",@ChuckGrassley,IA,R
"Hagerty, Bill",@SenatorHagerty,TN,R
"Hassan, Maggie",@SenatorHassan,NH,D
"Hawley, Josh",@HawleyMO,MO,R
"Heinrich, Martin",@MartinHeinrich,NM,D
"Hickenlooper, John",@SenatorHick,CO,D
"Hirono, Mazie",@maziehirono,HI,D
"Hoeven, John",@SenJohnHoeven,ND,R
"Hyde-Smith, Cindy",@SenHydeSmith,MS,R
"Inhofe, Jim",@JimInhofe,OK,R
"Johnson, Ron",@SenRonJohnson,WI,R
"Kaine, Tim",@timkaine,VA,D
"Kelly, Mark",@SenMarkKelly,AZ,D
"Kennedy, John",@SenJohnKennedy,LA,R
"King, Angus",@SenAngusKing,ME,I
"Klobuchar, Amy",@SenAmyKlobuchar,MN,D
"Lankford, James",@SenatorLankford,OK,R
"Leahy, Patrick",@SenatorLeahy,VT,D
"Lee, Mike",@SenMikeLee,UT,R
"Luján, Ben Ray",@SenatorLujan,NM,D
"Lummis, Cynthia",@SenLummis,WY,R
"Manchin, Joe",@Sen_JoeManchin,WV,D
"Markey, Ed",@SenMarkey,MA,D
"Marshall, Roger",@SenatorMarshall,KS,R
"McConnell, Mitch",@senatemajldr,KY,R
"Menendez, Bob",@SenatorMenendez,NJ,D
"Merkley, Jeff",@SenJeffMerkley,OR,D
"Moran, Jerry",@JerryMoran,KS,R
"Murkowski, Lisa",@lisamurkowski,AK,R
"Murphy, Chris",@ChrisMurphyCT,CT,D
"Murray, Patty",@PattyMurray,WA,D
"Ossoff, Jon",@ossoff,GA,D
"Padilla, Alex",@SenAlexPadilla,CA,D
"Paul, Rand",@RandPaul,KY,R
"Peters, Gary",@SenGaryPeters,MI,D
"Portman, Rob",@senrobportman,OH,R
"Reed, Jack",@SenJackReed,RI,D
"Risch, Jim",@SenatorRisch,ID,R
"Romney, Mitt",@SenatorRomney,UT,R
"Rosen, Jacky",@SenJackyRosen,NV,D
"Rounds, Mike",@SenatorRounds,SD,R
"Rubio, Marco",@marcorubio,FL,R
"Sanders, Bernie",@SenSanders,VT,I
"Sasse, Ben",@SenSasse,NE,R
"Schatz, Brian",@SenBrianSchatz,HI,D
"Schumer, Chuck",@SenSchumer,NY,D
"Scott, Rick",@SenRickScott,FL,R
"Scott, Tim",@SenatorTimScott,SC,R
"Shaheen, Jeanne",@SenatorShaheen,NH,D
"Shelby, Richard",@SenShelby,AL,R
"Sinema, Kyrsten",@SenatorSinema,AZ,D
"Smith, Tina",@SenTinaSmith,MN,D
"Stabenow, Debbie",@SenStabenow,MI,D
"Sullivan, Dan",@SenDanSullivan,AK,R
"Tester, Jon",@SenatorTester,MT,D
"Thune, John",@SenJohnThune,SD,R
"Tillis, Thom",@SenThomTillis,NC,R
"Toomey, Pat",@SenToomey,PA,R
"Tuberville, Tommy",@SenTuberville,AL,R
"Van Hollen, Chris",@ChrisVanHollen,MD,D
"Warner, Mark",@MarkWarner,VA,D
"Warnock, Raphael",@SenatorWarnock,GA,D
"Warren, Elizabeth",@SenWarren,MA,D
"Whitehouse, Sheldon",@SenWhitehouse,RI,D
"Wicker, Roger",@SenatorWicker,MS,R
"Wyden, Ron",@RonWyden,OR,D
"Young, Todd",@SenToddYoung,IN,R
